Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
India,Plantains,2006,86145,1083,100.96,25.0
Albania,Maize,1991,52252,1485,151.64,16.37
Turkey,Maize,2007,59465,574,90.2,11.1
Austria,Plantains,2013,79911,1110,87.36,6.35
Vietnam,Sorghum,2011,21033,1821,86.42,25.5
India,Sorghum,1998,16914,1083,125.21,25.0
Australia,Soybeans,2005,39575,534,107.65,21.65
United Kingdom,Soybeans,2002,30315,1220,115.92,9.5
Italy,Rice,1998,55388,832,128.56,13.5
Germany,Rice,1990,42272,700,142.94,8.5
Brazil,Wheat,2006,40031,1761,106.11,25.0
United Kingdom,Plantains,2002,82670,1220,119.26,9.5
Albania,Plantains,2011,95416,1485,85.83,16.37
Austria,Rice,2000,50368,1110,122.22,6.35
Mexico,Wheat,2006,35805,758,96.8,21.0
USA,Cassava,1991,128047,715,140.15,8.5
China,Wheat,1993,32346,645,133.62,8.5
Thailand,Cassava,2004,161816,1622,106.99,28.0
Brazil,Wheat,1997,37742,1761,123.01,25.0
Albania,Cassava,2011,170006,1485,84.12,16.37
Mexico,Plantains,2004,77747,758,111.43,21.0
USA,Potatoes,1996,180179,715,130.59,8.5
China,Sorghum,2011,17691,645,84.94,8.5
Argentina,Potatoes,1999,202881,590,115.27,16.0
Pakistan,Maize,2010,58720,494,91.08,19.0
Spain,Sorghum,2005,18168,636,110.72,14.0
USA,Yams,2002,132925,715,118.36,8.5
Netherlands,Sweet potatoes,2010,179869,850,91.62,9.5
Argentina,Cassava,2000,156517,590,119.24,16.0
Australia,Soybeans,1997,31673,534,135.64,21.65
Egypt,Yams,1994,108144,51,147.36,22.5
Indonesia,Potatoes,2010,255283,2702,88.96,26.5
Indonesia,Yams,1994,112439,2702,140.07,26.5
Australia,Potatoes,2006,252103,534,102.79,21.65
Canada,Sorghum,2001,16009,537,126.46,-5.35
Canada,Plantains,1993,64823,537,148.91,-5.35
Pakistan,Wheat,1995,27883,494,141.44,19.0
Japan,Yams,1998,102526,1668,126.87,12.0
France,Sorghum,2011,16907,867,91.69,12.5
Japan,Soybeans,1998,29571,1668,117.27,12.0
Australia,Potatoes,2012,271003,534,92.78,21.65
Italy,Rice,2008,51874,832,95.85,13.5
Pakistan,Rice,2001,38964,494,111.67,19.0
Australia,Plantains,2010,88075,534,93.13,21.65
Indonesia,Cassava,2000,159900,2702,113.55,26.5
Netherlands,Potatoes,1999,186364,850,116.83,9.5
Bangladesh,Sorghum,2008,20104,2666,104.3,25.5
Australia,Soybeans,2004,32964,534,117.26,21.65
Australia,Potatoes,2005,216381,534,96.31,21.65
Mexico,Maize,2010,64201,758,85.61,21.0
Netherlands,Sorghum,1994,16112,850,137.93,9.5
United Kingdom,Wheat,2007,33006,1220,100.98,9.5
Brazil,Cassava,2013,157170,1761,75.59,25.0
Netherlands,Maize,2000,53096,850,128.92,9.5
Egypt,Rice,1994,36578,51,130.31,22.5
Canada,Wheat,1999,26121,537,128.92,-5.35
Austria,Rice,2013,60466,1110,82.89,6.35
Austria,Sorghum,1990,13363,1110,159.76,6.35
United Kingdom,Wheat,1997,32964,1220,136.26,9.5
Canada,Sweet potatoes,1997,130016,537,119.21,-5.35
China,Rice,2002,51393,645,115.48,8.5
Japan,Soybeans,2007,28426,1668,99.76,12.0
Mexico,Yams,2012,165880,758,76.62,21.0
Austria,Plantains,2011,76880,1110,77.86,6.35
Pakistan,Wheat,1993,27814,494,148.07,19.0
Indonesia,Rice,1994,60673,2702,128.4,26.5
Spain,Soybeans,1993,24386,636,132.03,14.0
Pakistan,Sweet potatoes,2008,139734,494,105.21,19.0
Spain,Potatoes,2002,206041,636,119.94,14.0
Bangladesh,Potatoes,1994,184335,2666,133.19,25.5
USA,Rice,2008,53792,715,90.97,8.5
Mexico,Sorghum,2011,23662,758,81.62,21.0
Thailand,Plantains,1995,85134,1622,142.5,28.0
Netherlands,Sweet potatoes,2000,149854,850,113.77,9.5
Thailand,Rice,2011,62567,1622,91.55,28.0
Italy,Plantains,2011,80275,832,92.76,13.5
Japan,Potatoes,2001,199491,1668,114.24,12.0
Japan,Sorghum,1999,18931,1668,117.07,12.0
United Kingdom,Potatoes,2005,197561,1220,105.15,9.5
Bangladesh,Wheat,2008,44168,2666,95.21,25.5
United Kingdom,Sweet potatoes,2001,139365,1220,120.34,9.5
India,Plantains,2002,88063,1083,106.93,25.0
Austria,Cassava,2012,181401,1110,91.84,6.35
Egypt,Cassava,2004,138447,51,109.77,22.5
USA,Sorghum,2009,19304,715,99.93,8.5
Australia,Potatoes,2001,224146,534,107.74,21.65
Egypt,Potatoes,1990,161016,51,142.0,22.5
Brazil,Maize,2003,60324,1761,120.46,25.0
Mexico,Plantains,1991,67015,758,137.56,21.0
Netherlands,Maize,1999,63768,850,131.75,9.5
Germany,Soybeans,2000,31113,700,120.71,8.5
Italy,Soybeans,2008,36216,832,99.32,13.5
Pakistan,Cassava,2005,103646,494,113.17,19.0
Indonesia,Sweet potatoes,1990,134503,2702,154.89,26.5
Austria,Sweet potatoes,2008,141372,1110,91.3,6.35
Albania,Potatoes,1994,163764,1485,129.77,16.37
Germany,Soybeans,2001,27670,700,110.93,8.5
Germany,Potatoes,1994,203881,700,130.92,8.5
Austria,Potatoes,2008,200146,1110,95.72,6.35
Netherlands,Cassava,1993,109537,850,148.22,9.5
Argentina,Potatoes,2010,210939,590,98.08,16.0
Australia,Plantains,2004,86314,534,115.09,21.65
France,Plantains,1991,59952,867,152.7,12.5
United Kingdom,Potatoes,1991,155048,1220,142.75,9.5
Albania,Maize,2011,73823,1485,77.69,16.37
India,Soybeans,2006,32078,1083,98.2,25.0
Austria,Cassava,2011,171292,1110,86.19,6.35
Austria,Plantains,1995,73155,1110,141.24,6.35
Bangladesh,Sorghum,1998,15266,2666,116.54,25.5
Belgium,Rice,2007,62040,847,102.54,10.5
Vietnam,Cassava,1993,137671,1821,150.95,25.5
Argentina,Potatoes,2003,197267,590,118.53,16.0
China,Cassava,2010,137122,645,86.3,8.5
Belgium,Potatoes,2011,203646,847,82.72,10.5
France,Yams,1996,131347,867,132.77,12.5
Australia,Sorghum,2009,21620,534,96.56,21.65
Belgium,Yams,2009,152996,847,100.88,10.5
Pakistan,Rice,2004,38424,494,100.31,19.0
Belgium,Potatoes,2013,228123,847,81.23,10.5
Mexico,Cassava,2012,174706,758,92.6,21.0
Germany,Soybeans,2008,29268,700,100.52,8.5
Bangladesh,Potatoes,2013,232566,2666,81.65,25.5
Vietnam,Cassava,1998,134275,1821,133.87,25.5
China,Cassava,1990,102040,645,145.92,8.5
Indonesia,Yams,2002,125536,2702,105.07,26.5
Canada,Maize,2000,47883,537,117.37,-5.35
Indonesia,Rice,2011,61522,2702,89.84,26.5
China,Rice,2007,57223,645,108.48,8.5
Argentina,Rice,1996,43927,590,124.56,16.0
Brazil,Soybeans,2001,35042,1761,110.77,25.0
China,Sorghum,2010,21397,645,93.46,8.5
Australia,Soybeans,2002,29768,534,119.6,21.65
Japan,Plantains,2007,76586,1668,91.7,12.0
Germany,Maize,1993,59389,700,132.56,8.5
China,Plantains,2007,79144,645,96.09,8.5
Pakistan,Cassava,2004,114603,494,102.19,19.0
Vietnam,Plantains,2008,77901,1821,86.75,25.5
Netherlands,Wheat,2011,39406,850,85.79,9.5
Mexico,Cassava,1994,122228,758,132.83,21.0
India,Sorghum,1997,20113,1083,119.61,25.0
Thailand,Sweet potatoes,2003,146552,1622,107.5,28.0
Thailand,Sweet potatoes,2009,166778,1622,91.66,28.0
Australia,Sorghum,1994,17684,534,132.48,21.65
Germany,Rice,2011,64710,700,92.24,8.5
Netherlands,Wheat,2008,32530,850,99.35,9.5
Spain,Plantains,2004,73189,636,103.74,14.0
United Kingdom,Wheat,2002,30143,1220,117.86,9.5
Canada,Potatoes,2002,167558,537,119.13,-5.35
Germany,Plantains,2002,69351,700,121.39,8.5
United Kingdom,Wheat,2013,44028,1220,88.83,9.5
Canada,Potatoes,1990,124574,537,144.83,-5.35
China,Yams,1993,106161,645,133.54,8.5
Japan,Soybeans,2013,31055,1668,81.56,12.0
France,Yams,1997,102010,867,136.15,12.5
Spain,Yams,2005,142069,636,105.05,14.0
Belgium,Sorghum,2003,20108,847,109.1,10.5
Vietnam,Rice,2007,58976,1821,108.52,25.5
Thailand,Sorghum,1995,15276,1622,144.45,28.0
Pakistan,Sorghum,2008,13859,494,87.11,19.0
Turkey,Yams,1991,114273,574,144.4,11.1
Brazil,Cassava,1997,134918,1761,125.2,25.0
Thailand,Potatoes,1996,191034,1622,129.15,28.0
France,Maize,1992,58460,867,150.19,12.5
France,Yams,2010,128213,867,81.2,12.5
Argentina,Sorghum,1995,15870,590,127.14,16.0
Thailand,Soybeans,1997,30214,1622,130.75,28.0
Italy,Yams,2005,123482,832,98.81,13.5
Pakistan,Plantains,1994,58193,494,142.65,19.0
Austria,Sorghum,1993,17985,1110,144.85,6.35
Italy,Wheat,2010,34637,832,91.87,13.5
Canada,Potatoes,1997,137586,537,134.25,-5.35
Mexico,Potatoes,1993,182943,758,139.6,21.0
Albania,Potatoes,2002,219584,1485,104.11,16.37
Austria,Plantains,1991,75247,1110,137.84,6.35
Pakistan,Wheat,2002,25268,494,111.63,19.0
Spain,Rice,1995,46417,636,138.14,14.0
Bangladesh,Maize,2004,61971,2666,104.56,25.5
Bangladesh,Maize,2013,67371,2666,74.69,25.5
Vietnam,Sweet potatoes,1991,147727,1821,145.37,25.5
Belgium,Yams,1992,93384,847,153.87,10.5
Brazil,Wheat,1990,30500,1761,145.42,25.0
Spain,Rice,1997,43876,636,125.85,14.0
Spain,Sweet potatoes,2007,139560,636,107.19,14.0
Belgium,Cassava,2001,140553,847,122.46,10.5
Indonesia,Sweet potatoes,1993,149996,2702,143.1,26.5
Bangladesh,Potatoes,1993,210187,2666,136.97,25.5
India,Potatoes,2008,272421,1083,96.3,25.0
Brazil,Plantains,1998,72475,1761,125.03,25.0
Belgium,Sorghum,2008,21271,847,88.46,10.5
Netherlands,Sorghum,1999,18810,850,123.81,9.5
Belgium,Sweet potatoes,2002,130750,847,106.95,10.5
China,Maize,2003,62901,645,109.26,8.5
Vietnam,Maize,1995,53119,1821,129.43,25.5
Japan,Potatoes,2006,211401,1668,104.36,12.0
China,Soybeans,2004,28725,645,103.88,8.5
Austria,Sweet potatoes,1994,154134,1110,141.19,6.35
Pakistan,Yams,2003,93992,494,111.78,19.0
Spain,Sweet potatoes,1997,150186,636,122.71,14.0
Albania,Maize,1992,46185,1485,137.12,16.37
China,Sweet potatoes,2011,158247,645,90.79,8.5
Austria,Wheat,1999,34555,1110,132.26,6.35
India,Soybeans,1991,28238,1083,137.2,25.0
Germany,Rice,2008,56204,700,105.23,8.5
Canada,Yams,2008,103868,537,102.82,-5.35
Brazil,Cassava,2002,147664,1761,123.06,25.0
Canada,Yams,2007,111408,537,98.33,-5.35
Indonesia,Wheat,2002,32011,2702,104.46,26.5
India,Soybeans,1990,30329,1083,141.22,25.0
Austria,Maize,1996,55654,1110,139.38,6.35
Albania,Rice,1995,52083,1485,133.21,16.37
Canada,Soybeans,2010,29413,537,91.35,-5.35
Pakistan,Maize,1995,47916,494,126.45,19.0
Germany,Cassava,1999,119835,700,120.34,8.5
India,Cassava,2006,154628,1083,97.36,25.0
Austria,Yams,1990,115732,1110,150.12,6.35
United Kingdom,Wheat,2011,44611,1220,84.31,9.5
Austria,Soybeans,1998,30943,1110,131.64,6.35
Turkey,Maize,1991,47172,574,142.51,11.1
Mexico,Potatoes,2007,232175,758,93.39,21.0
Belgium,Sweet potatoes,2011,156035,847,85.91,10.5
Mexico,Plantains,2002,95636,758,110.49,21.0
Austria,Cassava,2010,151061,1110,87.52,6.35
Canada,Sweet potatoes,2010,154474,537,93.24,-5.35
Albania,Maize,2000,51281,1485,122.24,16.37
Mexico,Rice,1997,47953,758,137.63,21.0
Brazil,Maize,2013,84735,1761,87.13,25.0
Austria,Sorghum,2004,17193,1110,108.66,6.35
USA,Cassava,2001,126751,715,123.46,8.5
Pakistan,Yams,2002,112912,494,111.92,19.0
China,Sweet potatoes,2010,168905,645,80.83,8.5
Vietnam,Maize,2012,80197,1821,75.46,25.5
Egypt,Sweet potatoes,2008,145253,51,88.48,22.5
France,Sorghum,1992,17209,867,152.99,12.5
Bangladesh,Maize,1993,54289,2666,142.76,25.5
Turkey,Sweet potatoes,1996,145427,574,138.36,11.1
Germany,Yams,2006,130692,700,111.44,8.5
Australia,Yams,1998,143651,534,127.71,21.65
Argentina,Sweet potatoes,2013,171742,590,81.49,16.0
Turkey,Rice,2010,53772,574,99.47,11.1
Albania,Cassava,1991,104894,1485,137.61,16.37
China,Soybeans,2007,37320,645,91.52,8.5
United Kingdom,Yams,2004,109431,1220,103.16,9.5
Bangladesh,Plantains,2003,70444,2666,106.15,25.5
Mexico,Wheat,2010,38868,758,80.78,21.0
China,Wheat,2000,33738,645,122.63,8.5
Netherlands,Cassava,2006,149059,850,99.39,9.5
Germany,Yams,1998,116721,700,125.14,8.5
Turkey,Cassava,2010,135723,574,91.43,11.1
Turkey,Soybeans,2009,29741,574,101.34,11.1
USA,Yams,1992,108304,715,136.14,8.5
USA,Sorghum,2006,20281,715,109.51,8.5
Turkey,Potatoes,2007,206215,574,93.4,11.1
Germany,Potatoes,1990,150042,700,155.27,8.5
Belgium,Rice,2004,50836,847,114.09,10.5
Canada,Sorghum,2009,15610,537,85.94,-5.35
Mexico,Cassava,1997,158666,758,138.19,21.0
Argentina,Potatoes,1997,197526,590,123.57,16.0
Argentina,Maize,1994,59205,590,147.01,16.0
Egypt,Rice,2002,51229,51,123.72,22.5
USA,Maize,2002,57425,715,118.68,8.5
China,Soybeans,2006,28398,645,109.31,8.5
USA,Sweet potatoes,2002,143792,715,106.24,8.5
Austria,Sorghum,2011,19937,1110,81.02,6.35
Netherlands,Plantains,2008,84181,850,103.22,9.5
United Kingdom,Rice,2010,50047,1220,93.73,9.5
Canada,Wheat,1994,30840,537,146.54,-5.35
Turkey,Potatoes,1992,149469,574,139.28,11.1
Germany,Rice,2003,59919,700,112.95,8.5
Australia,Rice,2007,64911,534,107.85,21.65
Japan,Wheat,1991,25974,1668,149.45,12.0
Austria,Maize,2008,68496,1110,102.16,6.35
Argentina,Rice,2012,54631,590,77.69,16.0
Mexico,Cassava,2007,148296,758,101.92,21.0
Bangladesh,Sweet potatoes,1993,139551,2666,148.85,25.5
Egypt,Cassava,1992,97728,51,137.88,22.5
Spain,Potatoes,1997,210267,636,120.95,14.0
India,Wheat,1999,37087,1083,123.56,25.0
Austria,Plantains,1998,71316,1110,123.44,6.35
Mexico,Yams,2001,133590,758,108.94,21.0
Pakistan,Soybeans,2013,27228,494,73.28,19.0
Albania,Potatoes,2004,179414,1485,113.43,16.37
Turkey,Wheat,2009,39369,574,91.88,11.1
Spain,Plantains,1996,72841,636,123.34,14.0
Italy,Soybeans,1997,25173,832,137.16,13.5
Egypt,Yams,1999,99234,51,114.9,22.5
India,Potatoes,1993,221485,1083,150.33,25.0
Japan,Soybeans,1997,28593,1668,138.38,12.0
Bangladesh,Yams,1996,103229,2666,133.54,25.5
Australia,Wheat,2004,38843,534,117.68,21.65
Egypt,Wheat,1999,31564,51,130.16,22.5
Brazil,Potatoes,1992,195181,1761,135.57,25.0
Turkey,Sweet potatoes,1999,148210,574,118.92,11.1
Italy,Cassava,2008,150468,832,90.87,13.5
Austria,Plantains,2012,92310,1110,76.63,6.35
Germany,Maize,2009,59893,700,83.8,8.5
Thailand,Wheat,2001,34161,1622,126.09,28.0
United Kingdom,Rice,1998,46263,1220,121.16,9.5
Austria,Soybeans,2000,28645,1110,115.26,6.35
Brazil,Sorghum,1999,18185,1761,115.27,25.0
Italy,Rice,1992,46600,832,143.11,13.5
Spain,Cassava,1998,124427,636,135.91,14.0
Australia,Cassava,1994,139567,534,132.01,21.65
Turkey,Soybeans,2004,34452,574,108.11,11.1
Pakistan,Maize,2003,51557,494,112.08,19.0
Argentina,Cassava,1996,132476,590,135.88,16.0
Turkey,Potatoes,1991,180743,574,145.56,11.1
Egypt,Sorghum,2008,16741,51,88.64,22.5
Pakistan,Cassava,1996,95567,494,126.01,19.0
Argentina,Cassava,2006,133289,590,106.14,16.0
Japan,Yams,2013,132378,1668,75.61,12.0
Albania,Potatoes,2012,230256,1485,89.22,16.37
Indonesia,Yams,2007,123675,2702,106.67,26.5
Egypt,Cassava,1995,107034,51,140.13,22.5
Netherlands,Potatoes,2008,216163,850,90.16,9.5
Netherlands,Wheat,1996,33720,850,127.36,9.5
Egypt,Rice,2006,53741,51,92.33,22.5
Germany,Maize,2011,56737,700,84.05,8.5
Canada,Rice,2012,55491,537,79.73,-5.35
Egypt,Potatoes,2004,160963,51,108.3,22.5
United Kingdom,Soybeans,2001,32078,1220,126.14,9.5
Pakistan,Yams,1996,77832,494,127.67,19.0
Argentina,Soybeans,1992,25959,590,136.24,16.0
Albania,Plantains,2013,94283,1485,73.86,16.37
Netherlands,Rice,2005,59063,850,99.29,9.5
Belgium,Wheat,2011,38019,847,77.29,10.5
Thailand,Plantains,2002,76640,1622,117.15,28.0
Pakistan,Rice,1996,40198,494,122.49,19.0
Netherlands,Potatoes,2006,182568,850,103.41,9.5
Argentina,Sorghum,2007,19224,590,101.92,16.0
Italy,Wheat,1994,29445,832,140.54,13.5
Indonesia,Plantains,2009,82998,2702,95.54,26.5
Italy,Yams,2009,151575,832,94.57,13.5
Egypt,Potatoes,2007,204962,51,108.0,22.5
France,Cassava,2008,163463,867,100.1,12.5
Spain,Soybeans,2011,36283,636,92.76,14.0
Mexico,Sweet potatoes,2011,210032,758,81.73,21.0
Brazil,Maize,2008,77151,1761,100.84,25.0
Albania,Sweet potatoes,1993,133154,1485,134.46,16.37
Spain,Wheat,1993,28918,636,131.07,14.0
United Kingdom,Yams,1994,99305,1220,146.44,9.5
Mexico,Plantains,2007,79672,758,102.38,21.0
Spain,Cassava,1992,121432,636,147.9,14.0
United Kingdom,Sorghum,2006,21362,1220,102.75,9.5
United Kingdom,Wheat,2006,33962,1220,97.27,9.5
Austria,Yams,1992,108421,1110,145.81,6.35
Albania,Rice,2002,59409,1485,120.15,16.37
Belgium,Potatoes,2006,234647,847,97.52,10.5
United Kingdom,Plantains,2007,75706,1220,91.02,9.5
China,Plantains,1998,70527,645,129.51,8.5
Brazil,Sorghum,2002,18093,1761,111.95,25.0
Albania,Cassava,1999,128966,1485,123.33,16.37
Australia,Maize,1991,53970,534,141.91,21.65
Turkey,Wheat,2010,33596,574,90.54,11.1
Pakistan,Sorghum,1998,13196,494,127.37,19.0
Canada,Sorghum,2000,13110,537,113.35,-5.35
Austria,Potatoes,1996,184142,1110,132.38,6.35
Canada,Soybeans,1999,25369,537,119.28,-5.35
Turkey,Sweet potatoes,2003,152369,574,115.5,11.1
India,Rice,2013,64802,1083,90.5,25.0
United Kingdom,Potatoes,2011,219435,1220,96.34,9.5
Spain,Soybeans,2007,30997,636,108.51,14.0
Belgium,Wheat,2003,37480,847,103.73,10.5
Thailand,Rice,1997,50021,1622,137.18,28.0
India,Plantains,2012,106705,1083,87.13,25.0
Albania,Sweet potatoes,2008,174164,1485,87.89,16.37
Bangladesh,Sweet potatoes,1998,159100,2666,125.75,25.5
China,Wheat,2008,37032,645,104.35,8.5
United Kingdom,Yams,1996,118547,1220,137.28,9.5
Albania,Cassava,1994,116355,1485,143.4,16.37
Spain,Potatoes,2010,240744,636,98.26,14.0
Mexico,Maize,1993,50400,758,137.75,21.0
India,Yams,2000,134310,1083,123.12,25.0
Netherlands,Sweet potatoes,1998,144064,850,129.24,9.5
Belgium,Sweet potatoes,2008,163102,847,102.14,10.5
Indonesia,Cassava,1997,154015,2702,126.66,26.5
United Kingdom,Cassava,2005,144086,1220,95.59,9.5
Netherlands,Potatoes,1995,179706,850,139.41,9.5
Thailand,Soybeans,2010,33060,1622,96.39,28.0
Italy,Cassava,1994,126830,832,137.44,13.5
Italy,Sorghum,2007,17589,832,93.78,13.5
Vietnam,Cassava,2013,194885,1821,89.76,25.5
Canada,Potatoes,1994,160262,537,134.26,-5.35
Italy,Sorghum,1991,16494,832,145.94,13.5
Argentina,Plantains,2012,83329,590,79.19,16.0
Australia,Wheat,1999,34907,534,126.09,21.65
Spain,Sweet potatoes,2005,172691,636,103.88,14.0
Vietnam,Potatoes,2007,227057,1821,98.49,25.5
China,Cassava,2000,149584,645,124.58,8.5
Pakistan,Plantains,2010,69716,494,96.02,19.0
United Kingdom,Sorghum,1991,14342,1220,152.85,9.5
Brazil,Sweet potatoes,2004,155987,1761,112.04,25.0
USA,Wheat,1993,34223,715,141.63,8.5
Vietnam,Plantains,2010,91046,1821,95.93,25.5
Albania,Potatoes,2006,218597,1485,109.26,16.37
China,Sweet potatoes,1991,124260,645,143.54,8.5
Pakistan,Sorghum,2002,12093,494,106.37,19.0
France,Maize,2005,63061,867,110.69,12.5
Albania,Sorghum,1992,14424,1485,135.03,16.37
Egypt,Cassava,2011,155082,51,82.76,22.5
Egypt,Cassava,2002,140291,51,119.43,22.5
India,Maize,2007,68048,1083,99.18,25.0
Japan,Rice,2002,52554,1668,105.3,12.0
China,Cassava,2002,135508,645,118.24,8.5
Argentina,Plantains,1999,65012,590,113.39,16.0
China,Wheat,2001,31538,645,117.96,8.5
Germany,Wheat,2011,36370,700,93.75,8.5
Belgium,Soybeans,1995,26420,847,139.97,10.5
Mexico,Rice,2012,73913,758,75.44,21.0
Belgium,Soybeans,1998,25299,847,130.14,10.5
Albania,Yams,2010,152517,1485,80.86,16.37
United Kingdom,Plantains,1993,64361,1220,140.01,9.5
Germany,Plantains,1997,67144,700,126.74,8.5
USA,Rice,1998,49705,715,134.56,8.5
Germany,Sweet potatoes,1995,156488,700,137.97,8.5
Japan,Cassava,2006,140922,1668,96.8,12.0
Japan,Rice,2008,64217,1668,104.71,12.0
Pakistan,Soybeans,2007,28422,494,91.61,19.0
India,Wheat,1998,41141,1083,118.91,25.0
Spain,Wheat,2013,44691,636,82.3,14.0
China,Sweet potatoes,2008,151912,645,96.89,8.5
India,Potatoes,2005,228960,1083,112.07,25.0
India,Wheat,1991,33076,1083,149.93,25.0
USA,Wheat,1998,32687,715,129.91,8.5
Belgium,Sweet potatoes,2009,163683,847,93.93,10.5
Indonesia,Soybeans,2005,32667,2702,107.25,26.5
Thailand,Cassava,1992,147934,1622,146.52,28.0
Belgium,Sorghum,1997,16578,847,120.54,10.5
Egypt,Soybeans,2013,30858,51,89.19,22.5
Brazil,Soybeans,2009,33906,1761,95.75,25.0
Thailand,Wheat,2012,48568,1622,76.58,28.0
Japan,Rice,2012,60389,1668,86.01,12.0
USA,Maize,1996,50715,715,132.42,8.5
United Kingdom,Maize,1992,55732,1220,147.07,9.5
Indonesia,Soybeans,2000,35011,2702,127.94,26.5
Mexico,Yams,2008,151308,758,96.04,21.0
China,Maize,1990,42989,645,150.63,8.5
Australia,Potatoes,1999,234183,534,130.24,21.65
Spain,Soybeans,1991,24943,636,140.95,14.0
Belgium,Soybeans,2002,28566,847,111.2,10.5
Austria,Plantains,1992,62788,1110,149.97,6.35
Mexico,Sorghum,2010,18569,758,85.25,21.0
Netherlands,Sorghum,2013,17298,850,84.0,9.5
Spain,Cassava,2008,164550,636,100.41,14.0
Japan,Potatoes,2002,186724,1668,117.41,12.0
France,Potatoes,2004,179608,867,103.93,12.5
Austria,Rice,1996,51009,1110,122.87,6.35
Turkey,Soybeans,1999,29247,574,131.4,11.1
Austria,Yams,1997,107207,1110,119.19,6.35
Austria,Soybeans,1996,30510,1110,123.78,6.35
Spain,Plantains,1995,73638,636,133.11,14.0
Albania,Cassava,2010,144193,1485,88.39,16.37
Turkey,Yams,2001,135980,574,117.26,11.1
Pakistan,Wheat,2013,27755,494,76.5,19.0
Germany,Wheat,2008,35089,700,98.28,8.5
Indonesia,Plantains,2002,88850,2702,104.35,26.5
Belgium,Soybeans,2005,35767,847,103.68,10.5
Egypt,Sorghum,1996,14892,51,128.19,22.5
United Kingdom,Plantains,1995,77372,1220,127.49,9.5
Indonesia,Rice,1990,60983,2702,146.2,26.5
Japan,Sweet potatoes,2002,157836,1668,114.67,12.0
Japan,Sweet potatoes,2012,168043,1668,76.26,12.0
Argentina,Sorghum,2005,16322,590,103.63,16.0
Germany,Sorghum,2008,17577,700,105.55,8.5
Indonesia,Soybeans,1994,32033,2702,132.62,26.5
Turkey,Sorghum,2006,17803,574,103.72,11.1
Austria,Soybeans,2006,35638,1110,111.84,6.35
Italy,Plantains,1997,79066,832,121.72,13.5
Mexico,Soybeans,1996,26867,758,134.31,21.0
Vietnam,Plantains,2011,94385,1821,86.06,25.5
Albania,Rice,1996,42825,1485,126.58,16.37
Pakistan,Yams,1998,86561,494,133.35,19.0
Mexico,Sorghum,2009,22114,758,83.76,21.0
Canada,Yams,1995,109862,537,141.37,-5.35
Brazil,Potatoes,2007,268375,1761,95.71,25.0
Spain,Rice,2012,55523,636,89.77,14.0
Japan,Plantains,2013,95495,1668,77.91,12.0
Austria,Yams,2000,110028,1110,126.0,6.35
Japan,Sweet potatoes,1995,120848,1668,134.41,12.0
France,Maize,1991,50464,867,150.45,12.5
Vietnam,Potatoes,2002,191077,1821,109.6,25.5
Italy,Sweet potatoes,1999,156509,832,118.39,13.5
Austria,Rice,1990,47445,1110,143.62,6.35
Indonesia,Wheat,1990,28954,2702,145.25,26.5
Mexico,Wheat,2005,37280,758,113.94,21.0
Argentina,Potatoes,2011,242573,590,87.28,16.0
Egypt,Cassava,2012,151304,51,91.61,22.5
Turkey,Plantains,2002,77085,574,123.06,11.1
Thailand,Rice,1994,46790,1622,139.78,28.0
France,Sweet potatoes,1994,146456,867,144.59,12.5
India,Sorghum,1995,19012,1083,136.92,25.0
China,Cassava,2005,149899,645,114.15,8.5
Mexico,Potatoes,1995,174172,758,144.79,21.0
Austria,Maize,1992,46511,1110,151.36,6.35
Austria,Yams,2005,110693,1110,110.22,6.35
Indonesia,Rice,2005,60873,2702,96.23,26.5
France,Soybeans,1996,27742,867,138.2,12.5
Bangladesh,Potatoes,1995,210563,2666,142.45,25.5
Japan,Sorghum,2010,17492,1668,88.72,12.0
Canada,Sorghum,1997,12866,537,120.42,-5.35
United Kingdom,Soybeans,2013,38232,1220,85.59,9.5
Turkey,Soybeans,1996,30316,574,122.38,11.1
Canada,Potatoes,2010,162678,537,91.86,-5.35
Argentina,Soybeans,1995,29364,590,128.42,16.0
Netherlands,Soybeans,1995,27149,850,136.45,9.5
Spain,Cassava,2009,154841,636,84.83,14.0
Australia,Plantains,2006,89054,534,100.91,21.65
Mexico,Sorghum,1990,15526,758,150.65,21.0
Bangladesh,Maize,1996,58720,2666,133.21,25.5
Indonesia,Cassava,1992,138065,2702,151.73,26.5
France,Potatoes,2009,195024,867,101.98,12.5
India,Sorghum,1991,15449,1083,156.67,25.0
USA,Plantains,1995,63356,715,137.48,8.5
Indonesia,Plantains,2010,75908,2702,93.44,26.5
Egypt,Sweet potatoes,2004,122273,51,112.36,22.5
Mexico,Plantains,2010,99083,758,98.67,21.0
United Kingdom,Maize,1995,49658,1220,138.99,9.5
China,Rice,2012,65337,645,90.65,8.5
Spain,Potatoes,2006,222015,636,106.2,14.0
USA,Plantains,1997,69573,715,129.59,8.5
United Kingdom,Soybeans,2008,34617,1220,101.42,9.5
Indonesia,Potatoes,1999,203588,2702,128.79,26.5
Egypt,Potatoes,1999,146596,51,121.28,22.5
Netherlands,Maize,1990,44532,850,147.38,9.5
Thailand,Plantains,1990,75364,1622,146.79,28.0
Egypt,Plantains,2009,81429,51,87.79,22.5
United Kingdom,Wheat,2008,36639,1220,87.16,9.5
Argentina,Cassava,1991,134459,590,139.21,16.0
